indicator,date,rate
open,2023-12-22 18:10:00,375.03
high,2023-12-22 18:10:00,375.25
low,2023-12-22 18:10:00,374.99
close,2023-12-22 18:10:00,374.99
open,2023-12-22 18:09:00,374.99
high,2023-12-22 18:09:00,375.25
low,2023-12-22 18:09:00,374.99
close,2023-12-22 18:09:00,375.25
open,2023-12-22 18:08:00,375.2
high,2023-12-22 18:08:00,375.24
low,2023-12-22 18:08:00,375.0
close,2023-12-22 18:08:00,375.2
open,2023-12-22 18:07:00,375.18
high,2023-12-22 18:07:00,375.2
low,2023-12-22 18:07:00,375.17
close,2023-12-22 18:07:00,375.18
