indicator,date,rate
open,2023-12-18 08:00:00,369.45
high,2023-12-18 08:00:00,370.73
low,2023-12-18 08:00:00,366.75
close,2023-12-18 08:00:00,370.05
open,2023-12-18 07:00:00,368.84
high,2023-12-18 07:00:00,369.79
low,2023-12-18 07:00:00,368.81
close,2023-12-18 07:00:00,369.65
open,2023-12-18 06:00:00,369.35
high,2023-12-18 06:00:00,369.39
low,2023-12-18 06:00:00,368.52
close,2023-12-18 06:00:00,368.85
open,2023-12-18 05:00:00,369.81
high,2023-12-18 05:00:00,370.03
low,2023-12-18 05:00:00,369.3
close,2023-12-18 05:00:00,369.35
open,2023-12-18 04:00:00,370.13
high,2023-12-18 04:00:00,371.0
low,2023-12-18 04:00:00,369.67
close,2023-12-18 04:00:00,369.81
open,2023-12-15 19:00:00,370.0
high,2023-12-15 19:00:00,370.0
low,2023-12-15 19:00:00,369.85
close,2023-12-15 19:00:00,369.86
open,2023-12-15 18:00:00,369.97
high,2023-12-15 18:00:00,370.0
low,2023-12-15 18:00:00,369.55
close,2023-12-15 18:00:00,370.0
open,2023-12-15 17:00:00,369.88
high,2023-12-15 17:00:00,377.78
low,2023-12-15 17:00:00,345.127
close,2023-12-15 17:00:00,369.8
open,2023-12-15 16:00:00,368.77
high,2023-12-15 16:00:00,370.841
low,2023-12-15 16:00:00,368.77
close,2023-12-15 16:00:00,369.88
open,2023-12-15 15:00:00,370.63
high,2023-12-15 15:00:00,372.4
low,2023-12-15 15:00:00,367.21
close,2023-12-15 15:00:00,368.77
open,2023-12-15 14:00:00,369.53
high,2023-12-15 14:00:00,371.065
low,2023-12-15 14:00:00,369.19
close,2023-12-15 14:00:00,370.64
open,2023-12-15 13:00:00,370.12
high,2023-12-15 13:00:00,371.48
low,2023-12-15 13:00:00,368.99
close,2023-12-15 13:00:00,369.54
open,2023-12-15 12:00:00,371.31
high,2023-12-15 12:00:00,372.01
low,2023-12-15 12:00:00,370.1
close,2023-12-15 12:00:00,370.13
open,2023-12-15 11:00:00,371.26
high,2023-12-15 11:00:00,372.16
low,2023-12-15 11:00:00,370.12
close,2023-12-15 11:00:00,371.3
open,2023-12-15 10:00:00,369.09
high,2023-12-15 10:00:00,371.74
low,2023-12-15 10:00:00,368.43
close,2023-12-15 10:00:00,371.23
open,2023-12-15 09:00:00,368.5
high,2023-12-15 09:00:00,373.335
low,2023-12-15 09:00:00,365.64
close,2023-12-15 09:00:00,369.09
open,2023-12-15 08:00:00,367.06
high,2023-12-15 08:00:00,368.78
low,2023-12-15 08:00:00,365.93
close,2023-12-15 08:00:00,368.499
open,2023-12-15 07:00:00,367.55
high,2023-12-15 07:00:00,367.62
low,2023-12-15 07:00:00,366.6
close,2023-12-15 07:00:00,366.89
open,2023-12-15 06:00:00,367.73
high,2023-12-15 06:00:00,367.77
low,2023-12-15 06:00:00,367.49
close,2023-12-15 06:00:00,367.54
open,2023-12-15 05:00:00,368.4
high,2023-12-15 05:00:00,368.45
low,2023-12-15 05:00:00,367.0
close,2023-12-15 05:00:00,367.68
open,2023-12-15 04:00:00,366.99
high,2023-12-15 04:00:00,368.74
low,2023-12-15 04:00:00,366.99
close,2023-12-15 04:00:00,368.44
open,2023-12-14 19:00:00,366.68
high,2023-12-14 19:00:00,366.8
low,2023-12-14 19:00:00,348.332
close,2023-12-14 19:00:00,366.51
open,2023-12-14 18:00:00,366.31
high,2023-12-14 18:00:00,366.77
